index,k__Bacteria,BarcodeSequence,LinkerPrimerSequence,Description
C10-16S_V3-V4,40732.0,,,
C11-16S_V3-V4,65885.0,,,
C12-16S_V3-V4,84179.0,,,
C2-16S_V3-V4,69809.0,,,
C3-16S_V3-V4,60688.0,,,
C4-16S_V3-V4,61273.0,,,
C5-16S_V3-V4,51584.0,,,
C6-16S_V3-V4,58570.0,,,
C7-16S_V3-V4,63397.0,,,
C8-16S_V3-V4,59588.0,,,
C9-16S_V3-V4,49528.0,,,
WA1-16S_V3-V4,47351.0,,,
WA11-16S_V3-V4,68601.0,,,
WA2-16S_V3-V4,72862.0,,,
WA3-16S_V3-V4,42649.0,,,
WA4-16S_V3-V4,37723.0,,,
WA5-16S_V3-V4,33186.0,,,
WA6-16S_V3-V4,38677.0,,,
WA7-16S_V3-V4,41021.0,,,
WA8-16S_V3-V4,36070.0,,,
WA9-16S_V3-V4,30420.0,,,
WS1-16S_V3-V4,71902.0,,,
WS10-16S_V3-V4,36784.0,,,
WS11-16S_V3-V4,57750.0,,,
WS2-16S_V3-V4,55741.0,,,
WS3-16S_V3-V4,48579.0,,,
WS4-16S_V3-V4,52090.0,,,
WS5-16S_V3-V4,58241.0,,,
WS6-16S_V3-V4,50499.0,,,
WS7-16S_V3-V4,46379.0,,,
WS8-16S_V3-V4,43608.0,,,
WS9-16S_V3-V4,48041.0,,,
