index,k__Bacteria;__,k__Bacteria;p__,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Synergistetes,k__Bacteria;p__TM7,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia,BarcodeSequence,LinkerPrimerSequence,Description
C10-16S_V3-V4,48.0,3.0,0.0,9026.0,13910.0,357.0,64.0,16606.0,0.0,633.0,0.0,14.0,0.0,71.0,,,
C11-16S_V3-V4,115.0,14.0,0.0,27084.0,25058.0,1122.0,12.0,11421.0,0.0,644.0,0.0,20.0,10.0,385.0,,,
C12-16S_V3-V4,83.0,4.0,0.0,23177.0,32912.0,6831.0,15.0,17056.0,0.0,724.0,0.0,39.0,29.0,3309.0,,,
C2-16S_V3-V4,0.0,0.0,0.0,3839.0,23770.0,53.0,0.0,41597.0,0.0,550.0,0.0,0.0,0.0,0.0,,,
C3-16S_V3-V4,7.0,0.0,0.0,9642.0,26130.0,432.0,0.0,24211.0,0.0,266.0,0.0,0.0,0.0,0.0,,,
C4-16S_V3-V4,29.0,0.0,0.0,8557.0,27675.0,308.0,3.0,24276.0,0.0,392.0,0.0,28.0,5.0,0.0,,,
C5-16S_V3-V4,50.0,11.0,0.0,12318.0,17837.0,851.0,14.0,20088.0,0.0,361.0,0.0,38.0,6.0,10.0,,,
C6-16S_V3-V4,146.0,0.0,0.0,1784.0,19942.0,150.0,0.0,36152.0,0.0,392.0,0.0,4.0,0.0,0.0,,,
C7-16S_V3-V4,147.0,0.0,0.0,1768.0,23872.0,329.0,0.0,36946.0,0.0,335.0,0.0,0.0,0.0,0.0,,,
C8-16S_V3-V4,163.0,0.0,0.0,884.0,12253.0,76.0,0.0,45637.0,0.0,575.0,0.0,0.0,0.0,0.0,,,
C9-16S_V3-V4,88.0,0.0,0.0,3218.0,15716.0,30.0,0.0,30161.0,0.0,315.0,0.0,0.0,0.0,0.0,,,
WA1-16S_V3-V4,25.0,0.0,0.0,21763.0,10887.0,490.0,8.0,12308.0,0.0,215.0,0.0,0.0,0.0,1655.0,,,
WA11-16S_V3-V4,0.0,0.0,3794.0,11705.0,11734.0,1899.0,0.0,0.0,7295.0,31516.0,0.0,658.0,0.0,0.0,,,
WA2-16S_V3-V4,7.0,4.0,0.0,21867.0,23415.0,1265.0,27.0,19599.0,0.0,623.0,0.0,8.0,139.0,5908.0,,,
WA3-16S_V3-V4,4.0,2.0,0.0,11014.0,13315.0,279.0,26.0,15800.0,0.0,240.0,0.0,4.0,0.0,1965.0,,,
WA4-16S_V3-V4,0.0,0.0,0.0,11892.0,10068.0,460.0,12.0,13587.0,0.0,105.0,0.0,6.0,73.0,1520.0,,,
WA5-16S_V3-V4,0.0,0.0,0.0,13693.0,8041.0,353.0,12.0,10617.0,0.0,106.0,0.0,0.0,0.0,364.0,,,
WA6-16S_V3-V4,0.0,0.0,0.0,12812.0,14630.0,213.0,14.0,8701.0,0.0,223.0,0.0,19.0,37.0,2028.0,,,
WA7-16S_V3-V4,25.0,0.0,0.0,15626.0,17781.0,18.0,0.0,3318.0,0.0,3794.0,0.0,0.0,0.0,459.0,,,
WA8-16S_V3-V4,78.0,15.0,0.0,4968.0,11394.0,2395.0,12.0,13179.0,0.0,191.0,7.0,14.0,48.0,3769.0,,,
WA9-16S_V3-V4,12.0,0.0,0.0,4665.0,10504.0,315.0,44.0,11886.0,0.0,263.0,0.0,9.0,0.0,2722.0,,,
WS1-16S_V3-V4,27.0,31.0,0.0,5257.0,31352.0,2340.0,14.0,25313.0,0.0,742.0,0.0,10.0,29.0,6787.0,,,
WS10-16S_V3-V4,92.0,27.0,0.0,132.0,12250.0,2885.0,35.0,18209.0,0.0,236.0,0.0,7.0,389.0,2522.0,,,
WS11-16S_V3-V4,5.0,30.0,0.0,2168.0,20589.0,3547.0,81.0,26492.0,0.0,727.0,0.0,13.0,41.0,4057.0,,,
WS2-16S_V3-V4,98.0,0.0,0.0,1376.0,27261.0,592.0,74.0,12629.0,0.0,556.0,0.0,0.0,0.0,13155.0,,,
WS3-16S_V3-V4,31.0,0.0,0.0,7173.0,17846.0,138.0,2.0,13044.0,0.0,290.0,0.0,17.0,12.0,10026.0,,,
WS4-16S_V3-V4,4.0,3.0,0.0,968.0,19042.0,146.0,40.0,20552.0,0.0,508.0,0.0,0.0,48.0,10779.0,,,
WS5-16S_V3-V4,70.0,18.0,0.0,4024.0,21514.0,251.0,38.0,19793.0,0.0,1167.0,0.0,14.0,0.0,11352.0,,,
WS6-16S_V3-V4,34.0,5.0,0.0,2142.0,22018.0,527.0,28.0,17367.0,0.0,633.0,0.0,13.0,85.0,7647.0,,,
WS7-16S_V3-V4,19.0,0.0,0.0,5134.0,20855.0,672.0,55.0,11634.0,0.0,704.0,0.0,2.0,30.0,7274.0,,,
WS8-16S_V3-V4,27.0,2.0,0.0,3667.0,20244.0,207.0,23.0,14401.0,0.0,500.0,0.0,5.0,30.0,4502.0,,,
WS9-16S_V3-V4,6.0,16.0,0.0,1240.0,23633.0,316.0,12.0,18476.0,0.0,330.0,0.0,30.0,13.0,3969.0,,,
