index,k__Bacteria;__;__;__,k__Bacteria;p__;c__;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15,k__Bacteria;p__Actinobacteria;__;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales,k__Bacteria;p__Firmicutes;__;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales,k__Bacteria;p__Firmicutes;c__Clostridia;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales,k__Bacteria;p__TM7;c__TM7-3;o__,k__Bacteria;p__TM7;c__TM7-3;o__CW040,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,BarcodeSequence,LinkerPrimerSequence,Description
C10-16S_V3-V4,48.0,3.0,0.0,0.0,0.0,0.0,8416.0,610.0,13910.0,0.0,0.0,0.0,355.0,2.0,64.0,0.0,0.0,2193.0,0.0,0.0,13170.0,0.0,1243.0,0.0,26.0,0.0,0.0,297.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,71.0,,,
C11-16S_V3-V4,115.0,14.0,0.0,13.0,5.0,0.0,26536.0,530.0,25058.0,0.0,0.0,0.0,1122.0,0.0,12.0,0.0,0.0,2254.0,0.0,0.0,7762.0,0.0,1405.0,0.0,56.0,0.0,0.0,515.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,4.0,0.0,385.0,,,
C12-16S_V3-V4,83.0,4.0,0.0,0.0,0.0,0.0,22414.0,763.0,32912.0,0.0,0.0,0.0,6831.0,0.0,15.0,0.0,0.0,3263.0,0.0,0.0,12543.0,7.0,1243.0,0.0,75.0,2.0,0.0,554.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,29.0,3309.0,,,
C2-16S_V3-V4,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,539.0,23770.0,0.0,0.0,0.0,53.0,0.0,0.0,6.0,0.0,19206.0,0.0,0.0,22284.0,0.0,101.0,0.0,5.0,0.0,0.0,157.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C3-16S_V3-V4,7.0,0.0,0.0,0.0,0.0,0.0,9038.0,604.0,26130.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,15823.0,0.0,0.0,8314.0,0.0,74.0,0.0,0.0,0.0,0.0,188.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C4-16S_V3-V4,29.0,0.0,0.0,0.0,0.0,0.0,8181.0,376.0,27675.0,0.0,0.0,0.0,302.0,6.0,3.0,0.0,0.0,17737.0,0.0,0.0,4926.0,0.0,1613.0,0.0,13.0,0.0,0.0,255.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.0,0.0,,,
C5-16S_V3-V4,50.0,11.0,0.0,0.0,0.0,0.0,11959.0,359.0,17837.0,0.0,0.0,0.0,844.0,7.0,14.0,0.0,0.0,6736.0,1535.0,0.0,10610.0,0.0,1207.0,0.0,45.0,0.0,0.0,224.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,6.0,10.0,,,
C6-16S_V3-V4,146.0,0.0,0.0,0.0,0.0,0.0,1310.0,474.0,19942.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,7426.0,0.0,0.0,28649.0,0.0,77.0,0.0,0.0,0.0,0.0,89.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,
C7-16S_V3-V4,147.0,0.0,0.0,0.0,0.0,0.0,1067.0,701.0,23872.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,18223.0,0.0,0.0,18664.0,0.0,59.0,0.0,7.0,0.0,0.0,118.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C8-16S_V3-V4,163.0,0.0,0.0,0.0,0.0,0.0,406.0,478.0,12253.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,6079.0,0.0,0.0,39499.0,0.0,59.0,0.0,0.0,0.0,0.0,51.0,0.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
