index,k__Bacteria;__;__;__;__,k__Bacteria;p__;c__;o__;f__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__,k__Bacteria;p__Actinobacteria;__;__;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;__;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae],k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,k__Bacteria;p__Firmicutes;__;__;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae,k__Bacteria;p__Firmicutes;c__Clostridia;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae],k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98;f__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__,k__Bacteria;p__TM7;c__TM7-3;o__;f__,k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,BarcodeSequence,LinkerPrimerSequence,Description
C10-16S_V3-V4,48.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8416.0,610.0,0.0,76.0,30.0,27.0,581.0,150.0,12595.0,136.0,315.0,0.0,0.0,0.0,355.0,2.0,64.0,0.0,0.0,0.0,2193.0,0.0,0.0,0.0,1249.0,2039.0,10.0,27.0,52.0,0.0,7920.0,11.0,0.0,1814.0,48.0,0.0,1243.0,0.0,26.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,71.0,,,
C11-16S_V3-V4,115.0,14.0,0.0,13.0,5.0,0.0,0.0,0.0,26536.0,530.0,0.0,75.0,117.0,114.0,914.0,245.0,22521.0,115.0,957.0,0.0,0.0,0.0,1122.0,0.0,12.0,0.0,0.0,0.0,2254.0,0.0,0.0,0.0,550.0,1836.0,20.0,70.0,46.0,0.0,3905.0,0.0,0.0,1315.0,20.0,0.0,1405.0,0.0,56.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,4.0,0.0,385.0,,,
C12-16S_V3-V4,83.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22414.0,763.0,0.0,153.0,51.0,44.0,2168.0,361.0,29048.0,179.0,908.0,0.0,0.0,0.0,6831.0,0.0,15.0,0.0,0.0,0.0,3222.0,41.0,0.0,0.0,1048.0,2125.0,11.0,132.0,68.0,0.0,6220.0,0.0,0.0,2917.0,22.0,7.0,1243.0,0.0,75.0,0.0,2.0,0.0,0.0,554.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,29.0,3309.0,,,
C2-16S_V3-V4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,539.0,0.0,85.0,179.0,127.0,379.0,262.0,22370.0,166.0,202.0,0.0,0.0,0.0,53.0,0.0,0.0,6.0,0.0,0.0,19183.0,23.0,0.0,0.0,1363.0,1184.0,0.0,3.0,31.0,0.0,18797.0,0.0,0.0,844.0,62.0,0.0,101.0,0.0,5.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C3-16S_V3-V4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9038.0,604.0,0.0,43.0,131.0,202.0,1209.0,262.0,23272.0,202.0,809.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,15757.0,66.0,0.0,0.0,602.0,830.0,0.0,0.0,25.0,0.0,6178.0,0.0,0.0,660.0,19.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C4-16S_V3-V4,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8181.0,376.0,6.0,208.0,80.0,40.0,3055.0,610.0,22862.0,267.0,547.0,0.0,0.0,0.0,302.0,6.0,3.0,0.0,0.0,0.0,17737.0,0.0,0.0,0.0,1024.0,768.0,7.0,49.0,51.0,0.0,2626.0,0.0,0.0,396.0,5.0,0.0,1613.0,0.0,13.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5.0,0.0,,,
C5-16S_V3-V4,50.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11959.0,359.0,0.0,81.0,168.0,111.0,1889.0,289.0,14551.0,124.0,624.0,0.0,0.0,0.0,844.0,7.0,14.0,0.0,0.0,0.0,6730.0,6.0,1535.0,0.0,1322.0,3119.0,9.0,138.0,121.0,0.0,4782.0,3.0,0.0,1099.0,17.0,0.0,1207.0,0.0,45.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,6.0,10.0,,,
C6-16S_V3-V4,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0,474.0,0.0,61.0,189.0,89.0,447.0,192.0,18259.0,533.0,172.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,7423.0,3.0,0.0,0.0,1441.0,1109.0,0.0,2.0,42.0,0.0,25199.0,5.0,0.0,816.0,35.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,14.0,75.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,
C7-16S_V3-V4,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,701.0,0.0,82.0,168.0,169.0,1128.0,382.0,20750.0,976.0,217.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,18188.0,35.0,0.0,0.0,1089.0,1071.0,0.0,4.0,56.0,2.0,15673.0,2.0,0.0,734.0,33.0,0.0,59.0,0.0,7.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C8-16S_V3-V4,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,478.0,0.0,44.0,69.0,46.0,334.0,219.0,10693.0,786.0,62.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,6058.0,21.0,0.0,0.0,1754.0,1181.0,3.0,4.0,73.0,0.0,35622.0,0.0,0.0,830.0,32.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C9-16S_V3-V4,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2761.0,457.0,0.0,34.0,117.0,52.0,249.0,168.0,14889.0,77.0,130.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,13386.0,26.0,0.0,0.0,1115.0,1001.0,0.0,0.0,45.0,0.0,13796.0,0.0,0.0,703.0,36.0,0.0,53.0,0.0,6.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
WA1-16S_V3-V4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21472.0,291.0,0.0,501.0,588.0,226.0,1457.0,190.0,7868.0,27.0,30.0,0.0,0.0,0.0,490.0,0.0,8.0,0.0,0.0,0.0,1635.0,0.0,127.0,0.0,359.0,1349.0,59.0,125.0,39.0,0.0,7366.0,0.0,0.0,570.0,10.0,0.0,669.0,0.0,28.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655.0,,,
WA11-16S_V3-V4,0.0,0.0,3794.0,0.0,0.0,6783.0,4246.0,676.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5091.0,6490.0,10.0,0.0,1889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7295.0,0.0,0.0,0.0,8626.0,0.0,0.0,1410.0,760.0,0.0,0.0,38.0,9058.0,1854.0,9542.0,228.0,0.0,658.0,0.0,0.0,0.0,0.0,0.0,,,
WA2-16S_V3-V4,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21095.0,772.0,2.0,735.0,201.0,213.0,2272.0,378.0,19431.0,134.0,49.0,0.0,0.0,0.0,1265.0,0.0,27.0,0.0,0.0,0.0,1561.0,0.0,0.0,0.0,1381.0,3657.0,135.0,48.0,15.0,0.0,9664.0,2.0,0.0,1382.0,77.0,0.0,1677.0,0.0,23.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,139.0,0.0,0.0,5908.0,,,
WA3-16S_V3-V4,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10635.0,379.0,0.0,720.0,856.0,325.0,1149.0,258.0,9827.0,37.0,143.0,0.0,0.0,0.0,279.0,0.0,26.0,0.0,0.0,0.0,393.0,0.0,108.0,0.0,543.0,1803.0,44.0,50.0,17.0,0.0,11280.0,0.0,0.0,1058.0,20.0,0.0,484.0,0.0,13.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1965.0,,,
WA4-16S_V3-V4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11766.0,126.0,0.0,253.0,968.0,273.0,2181.0,152.0,6169.0,16.0,56.0,0.0,0.0,0.0,460.0,0.0,12.0,0.0,0.0,0.0,862.0,4.0,67.0,0.0,453.0,1462.0,66.0,22.0,15.0,0.0,9801.0,2.0,0.0,586.0,12.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,73.0,0.0,0.0,1520.0,,,
WA5-16S_V3-V4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13549.0,144.0,0.0,678.0,187.0,145.0,942.0,109.0,5761.0,10.0,209.0,0.0,0.0,0.0,353.0,0.0,12.0,0.0,0.0,0.0,385.0,3.0,0.0,0.0,265.0,1243.0,39.0,3.0,15.0,0.0,7843.0,0.0,0.0,525.0,7.0,0.0,289.0,0.0,6.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,,,
WA6-16S_V3-V4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12399.0,413.0,0.0,433.0,507.0,122.0,1516.0,179.0,11719.0,26.0,128.0,0.0,0.0,0.0,213.0,0.0,14.0,55.0,0.0,0.0,91.0,0.0,0.0,0.0,934.0,825.0,45.0,22.0,52.0,0.0,4815.0,0.0,0.0,1316.0,16.0,0.0,530.0,0.0,5.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,29.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,34.0,0.0,3.0,2028.0,,,
WA7-16S_V3-V4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15595.0,31.0,0.0,39.0,16777.0,14.0,144.0,11.0,796.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,41.0,405.0,4.0,0.0,0.0,351.0,101.0,0.0,274.0,23.0,0.0,1066.0,0.0,347.0,293.0,0.0,0.0,413.0,0.0,5.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,3694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,,,
WA8-16S_V3-V4,78.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4873.0,95.0,0.0,980.0,151.0,268.0,2311.0,159.0,7291.0,67.0,167.0,0.0,0.0,0.0,2395.0,0.0,12.0,0.0,0.0,3.0,325.0,5.0,51.0,2.0,377.0,1961.0,133.0,11.0,24.0,0.0,8261.0,0.0,0.0,1764.0,22.0,0.0,240.0,0.0,47.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,41.0,0.0,7.0,3769.0,,,
WA9-16S_V3-V4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4458.0,207.0,0.0,178.0,274.0,88.0,1386.0,200.0,8303.0,33.0,42.0,0.0,0.0,0.0,315.0,0.0,44.0,0.0,0.0,0.0,924.0,0.0,48.0,0.0,399.0,2108.0,46.0,135.0,12.0,3.0,6398.0,0.0,5.0,1523.0,24.0,0.0,261.0,0.0,10.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2722.0,,,
WS1-16S_V3-V4,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4873.0,384.0,3.0,544.0,1714.0,1166.0,9099.0,697.0,17983.0,108.0,38.0,0.0,0.0,0.0,2340.0,0.0,14.0,0.0,0.0,0.0,1076.0,9.0,494.0,0.0,1589.0,3118.0,231.0,592.0,249.0,3.0,12923.0,0.0,0.0,2603.0,46.0,0.0,2380.0,0.0,104.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,25.0,6787.0,,,
